DEBUG 2020-02-17 20:36:06,423 utils 2308 9564 (0.026) SELECT `mall_product`.`id`, `mall_product`.`uid`, `mall_product`.`name`, `mall_product`.`desc`, `mall_product`.`content`, `mall_product`.`types`, `mall_product`.`price`, `mall_product`.`origin_price`, `mall_product`.`img`, `mall_product`.`buy_link`, `mall_product`.`reorder`, `mall_product`.`status`, `mall_product`.`sku_count`, `mall_product`.`ramain_count`, `mall_product`.`view_count`, `mall_product`.`score`, `mall_product`.`is_valid`, `mall_product`.`created_at`, `mall_product`.`updated_at` FROM `mall_product` INNER JOIN `mall_product_tags` ON (`mall_product`.`id` = `mall_product_tags`.`product_id`) INNER JOIN `mall_tag` ON (`mall_product_tags`.`tag_id` = `mall_tag`.`id`) WHERE (`mall_product`.`status` = 11 AND `mall_product`.`is_valid` = 1 AND `mall_tag`.`code` = 'jxtj') ORDER BY `mall_product`.`reorder` DESC; args=(11, True, 'jxtj')
DEBUG 2020-02-17 20:36:06,425 utils 2308 9564 (0.000) SELECT `mall_product`.`id`, `mall_product`.`uid`, `mall_product`.`name`, `mall_product`.`desc`, `mall_product`.`content`, `mall_product`.`types`, `mall_product`.`price`, `mall_product`.`origin_price`, `mall_product`.`img`, `mall_product`.`buy_link`, `mall_product`.`reorder`, `mall_product`.`status`, `mall_product`.`sku_count`, `mall_product`.`ramain_count`, `mall_product`.`view_count`, `mall_product`.`score`, `mall_product`.`is_valid`, `mall_product`.`created_at`, `mall_product`.`updated_at` FROM `mall_product` INNER JOIN `mall_product_tags` ON (`mall_product`.`id` = `mall_product_tags`.`product_id`) INNER JOIN `mall_tag` ON (`mall_product_tags`.`tag_id` = `mall_tag`.`id`) WHERE (`mall_product`.`status` = 11 AND `mall_product`.`is_valid` = 1 AND `mall_tag`.`code` = 'jstj') ORDER BY `mall_product`.`reorder` DESC; args=(11, True, 'jstj')
DEBUG 2020-02-17 20:36:10,374 utils 2308 10212 (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2020-02-17 20:36:10,374 utils 2308 10212 (0.000) SELECT VERSION(); args=None
DEBUG 2020-02-17 20:36:10,384 utils 2308 10212 (0.008) SELECT (1) AS `a` FROM `django_session` WHERE `django_session`.`session_key` = 'aayck1k8mul6yqzidovrnnzjcvbwfe3i' LIMIT 1; args=('aayck1k8mul6yqzidovrnnzjcvbwfe3i',)
DEBUG 2020-02-17 20:36:10,396 utils 2308 10212 (0.009) INSERT INTO `django_session` (`session_key`, `session_data`, `expire_date`) VALUES ('aayck1k8mul6yqzidovrnnzjcvbwfe3i', 'YWI1MzI5MTAyOTAzZTA5MDlhMjExNzE4MGJhYjczN2Y5YzdjNGUzMzp7InZlcmlmeV9jb2RlIjoidjJJayJ9', '2020-03-02 12:36:10.386658'); args=('aayck1k8mul6yqzidovrnnzjcvbwfe3i', 'YWI1MzI5MTAyOTAzZTA5MDlhMjExNzE4MGJhYjczN2Y5YzdjNGUzMzp7InZlcmlmeV9jb2RlIjoidjJJayJ9', '2020-03-02 12:36:10.386658')
DEBUG 2020-02-17 20:39:39,346 utils 18624 7596 (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2020-02-17 20:39:39,346 utils 18624 7596 (0.000) SELECT VERSION(); args=None
DEBUG 2020-02-17 20:39:39,533 utils 18624 7596 (0.002) SHOW FULL TABLES; args=None
DEBUG 2020-02-17 20:39:39,537 utils 18624 7596 (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
DEBUG 2020-02-17 20:50:30,890 utils 18624 11812 (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
DEBUG 2020-02-17 20:50:30,897 utils 18624 11812 (0.000) SELECT VERSION(); args=None
DEBUG 2020-02-17 20:50:30,907 utils 18624 11812 (0.008) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'aayck1k8mul6yqzidovrnnzjcvbwfe3i' AND `django_session`.`expire_date` > '2020-02-17 12:50:30.887025'); args=('aayck1k8mul6yqzidovrnnzjcvbwfe3i', '2020-02-17 12:50:30.887025')
